m,pct_0,n,op_1_count,op_0_count,op_1_pct,op_0_pct,op_1_avg_degree,op_0_avg_degree,global_avg,discrepancy
1,0.05,1000.0,950.0,50.0,95.0,5.0,1.4970736842105261,11.5156,0.610291988483909,-0.3397080115160909
1,0.1,1000.0,900.0,100.0,90.0,10.0,1.3398444444444444,7.9214,0.46719510820873755,-0.4328048917912624
1,0.15,1000.0,850.0,150.0,85.0,15.0,1.2395882352941177,6.295666666666667,0.3730550914977184,-0.4769449085022815
1,0.2,1000.0,800.0,200.0,80.0,20.0,1.1678625,5.31855,0.3056820654027478,-0.49431793459725226
1,0.25,1000.0,750.0,250.0,75.0,25.0,1.1119466666666666,4.65616,0.25386867395091445,-0.49613132604908555
1,0.3,1000.0,700.0,300.0,70.0,30.0,1.0493999999999999,4.2114,0.19721029382239835,-0.5027897061776015
1,0.35,1000.0,650.0,350.0,65.0,35.0,1.0002307692307693,3.8510000000000004,0.1528489803777095,-0.49715101962229047
1,0.4,1000.0,600.0,400.0,60.0,40.0,1.0,3.495,0.14642884003221124,-0.45357115996778874
1,0.45,1000.0,550.0,450.0,55.00000000000001,45.0,1.0,3.2177777777777776,0.13737669805624772,-0.4126233019437524
2,0.05,1000.0,950.0,50.0,95.0,5.0,3.125515789473684,20.4552,0.6905850796326688,-0.2594149203673312
2,0.1,1000.0,900.0,100.0,90.0,10.0,2.845722222222222,14.308499999999999,0.5684562558129277,-0.33154374418707233
2,0.15,1000.0,850.0,150.0,85.0,15.0,2.6498470588235294,11.597533333333333,0.47591223516069625,-0.3740877648393037
2,0.2,1000.0,800.0,200.0,80.0,20.0,2.514275,9.902899999999999,0.40878308203944336,-0.39121691796055663
2,0.25,1000.0,750.0,250.0,75.0,25.0,2.40864,8.74208,0.35730690657957354,-0.39269309342042646
2,0.3,1000.0,700.0,300.0,70.0,30.0,2.2941285714285713,7.9537,0.29888949512597984,-0.4011105048740201
2,0.35,1000.0,650.0,350.0,65.0,35.0,2.2367538461538463,7.251742857142857,0.2682262033740859,-0.38177379662591415
2,0.4,1000.0,600.0,400.0,60.0,40.0,2.1678333333333333,6.72825,0.23254171070290977,-0.3674582892970902
2,0.45,1000.0,550.0,450.0,55.00000000000001,45.0,2.095890909090909,6.309466666666667,0.19671131754302165,-0.3532886824569784
3,0.05,1000.0,950.0,50.0,95.0,5.0,4.775473684210526,28.906,0.7239848367154452,-0.2260151632845547
3,0.1,1000.0,900.0,100.0,90.0,10.0,4.368222222222222,20.506,0.6080874689889292,-0.29191253101107084
3,0.15,1000.0,850.0,150.0,85.0,15.0,4.094352941176471,16.678666666666665,0.5230301731777542,-0.32696982682224573
3,0.2,1000.0,800.0,200.0,80.0,20.0,3.8877625,14.35895,0.454837532504793,-0.345162467495207
3,0.25,1000.0,750.0,250.0,75.0,25.0,3.7259866666666666,12.750039999999998,0.39919857017170485,-0.35080142982829515
3,0.3,1000.0,700.0,300.0,70.0,30.0,3.577028571428572,11.593599999999999,0.3466064990258762,-0.3533935009741237
3,0.35,1000.0,650.0,350.0,65.0,35.0,3.466,10.654571428571428,0.3069539312874985,-0.3430460687125015
3,0.4,1000.0,600.0,400.0,60.0,40.0,3.3436333333333335,9.93955,0.26238043595021865,-0.3376195640497814
3,0.45,1000.0,550.0,450.0,55.00000000000001,45.0,3.2750545454545454,9.29048888888889,0.23536943087055828,-0.31463056912944176
4,0.05,1000.0,950.0,50.0,95.0,5.0,6.436052631578948,37.075,0.7424016047624264,-0.2075983952375735
4,0.1,1000.0,900.0,100.0,90.0,10.0,5.902166666666667,26.5605,0.6299683450162314,-0.2700316549837686
4,0.15,1000.0,850.0,150.0,85.0,15.0,5.537999999999999,21.738000000000003,0.5460220852336022,-0.3039779147663978
4,0.2,1000.0,800.0,200.0,80.0,20.0,5.2727125,18.74915,0.4802913644300542,-0.3197086355699459
4,0.25,1000.0,750.0,250.0,75.0,25.0,5.0598,16.6926,0.42474793355049095,-0.32525206644950905
4,0.3,1000.0,700.0,300.0,70.0,30.0,4.871271428571429,15.1937,0.3738280069344279,-0.3261719930655721
4,0.35,1000.0,650.0,350.0,65.0,35.0,4.702092307692308,14.033257142857142,0.32697182756930865,-0.3230281724306914
4,0.4,1000.0,600.0,400.0,60.0,40.0,4.5745499999999995,13.058175,0.29072042992391345,-0.30927957007608653
4,0.45,1000.0,550.0,450.0,55.00000000000001,45.0,4.444654545454545,12.27431111111111,0.2534232731204693,-0.2965767268795307
5,0.05,1000.0,950.0,50.0,95.0,5.0,8.112136842105263,44.8694,0.755848620757384,-0.194151379242616
5,0.1,1000.0,900.0,100.0,90.0,10.0,7.429988888888889,32.6301,0.6424273435652664,-0.2575726564347336
5,0.15,1000.0,850.0,150.0,85.0,15.0,6.993200000000001,26.7052,0.5616035740985141,-0.28839642590148584
5,0.2,1000.0,800.0,200.0,80.0,20.0,6.661525,23.1039,0.4960439817127212,-0.30395601828727886
5,0.25,1000.0,750.0,250.0,75.0,25.0,6.385133333333333,20.6446,0.43834188819370434,-0.31165811180629566
5,0.3,1000.0,700.0,300.0,70.0,30.0,6.164428571428572,18.783,0.38980177640343155,-0.31019822359656835
5,0.35,1000.0,650.0,350.0,65.0,35.0,5.9613538461538464,17.357485714285716,0.3439665643823795,-0.30603343561762053
5,0.4,1000.0,600.0,400.0,60.0,40.0,5.792233333333334,16.18665,0.30446956127760066,-0.2955304387223993
5,0.45,1000.0,550.0,450.0,55.00000000000001,45.0,5.6425090909090905,15.214711111111113,0.2689204285630932,-0.2810795714369069
